Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue,Profit_Label
2016-05-10,10,May,2016,56.0,Adults (35-64),M,Australia,Queensland,Accessories,Tires and Tubes,Mountain Tire Tube,2,2,5,4,4,8,Less than 100
2014-02-22,22,Feb,2014,28.0,Young Adults (25-34),F,Australia,Victoria,Accessories,Tires and Tubes,Patch Kit/8 Patches,21,1,2,12,21,33,Less than 100
2015-09-20,20,September,2015,42.0,Adults (35-64),M,United States,Oregon,Accessories,Helmets,"Sport-100 Helmet, Blue",24,13,35,410,312,722,More or equal to 100
2015-10-01,1,October,2015,26.0,Young Adults (25-34),M,UK,England,Accessories,Bottles and Cages,Road Bottle Cage,4,3,9,23,12,35,Less than 100
2016-06-21,21,June,2016,22.0,Youth (<25),F,France,Seine (Paris),Accessories,Tires and Tubes,Road Tire Tube,24,1,4,55,24,79,Less than 100
2016-06-21,21,June,2016,45.0,Adults (35-64),M,France,Hauts de Seine,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,892,1266,2158,More or equal to 100
2016-03-19,19,Mar,2016,24.0,Youth (<25),M,United States,Washington,Accessories,Helmets,"Sport-100 Helmet, Red",11,13,35,157,143,300,More or equal to 100
2013-11-07,7,Nov,2013,27.0,Young Adults (25-34),F,Canada,British Columbia,Clothing,Jerseys,"Long-Sleeve Logo Jersey, XL",9,38,50,104,342,446,More or equal to 100
2016-05-15,15,May,2016,34.0,Young Adults (25-34),F,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,9,2,5,27,18,45,Less than 100
2013-12-16,16,Dec,2013,21.0,Youth (<25),F,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,8,1,2,8,8,16,Less than 100
2013-09-09,9,September,2013,29.0,Young Adults (25-34),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,20,2,5,42,40,82,Less than 100
2013-04-16,16,April,2013,25.0,Young Adults (25-34),M,UK,England,Bikes,Mountain Bikes,"Mountain-400-W Silver, 38",1,420,769,318,420,738,More or equal to 100
2014-06-21,21,June,2014,,,F,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,19,2,5,53,38,91,Less than 100
2016-07-11,11,July,2016,40.0,Adults (35-64),M,Canada,British Columbia,Accessories,Tires and Tubes,ML Mountain Tire,8,11,30,150,88,238,More or equal to 100
2015-09-15,15,September,2015,30.0,Young Adults (25-34),M,Canada,British Columbia,Clothing,Gloves,"Half-Finger Gloves, L",22,9,24,325,198,523,More or equal to 100
2013-08-23,23,August,2013,33.0,Young Adults (25-34),F,Australia,New South Wales,Clothing,Caps,AWC Logo Cap,10,7,9,8,70,78,Less than 100
2013-10-18,18,October,2013,49.0,Adults (35-64),M,France,Nord,Bikes,Road Bikes,-----,1,2171,3578,942,2171,3113,More or equal to 100
2016-03-27,27,Mar,2016,1.0,Youth (<25),F,Germany,Nordrhein-Westfalen,Clothing,Caps,AWC Logo Cap,21,7,9,17,147,164,Less than 100
2016-04-15,15,April,2016,31.0,Young Adults (25-34),M,Australia,New South Wales,Accessories,Helmets,"Sport-100 Helmet, Black",14,13,35,244,182,426,More or equal to 100
2013-12-25,25,Dec,2013,37.0,Adults (35-64),M,United States,California,Bikes,Road Bikes,"Road-650 Red, 60",1,487,783,280,487,767,More or equal to 100
2016-02-11,11,Feb,2016,44.0,Adults (35-64),M,United States,Oregon,Accessories,Tires and Tubes,-----,13,8,21,131,104,235,More or equal to 100
2014-04-25,25,April,2014,36.0,Adults (35-64),M,Canada,British Columbia,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",20,38,50,230,760,990,More or equal to 100
2014-02-23,23,Feb,2014,35.0,Adults (35-64),M,United States,Oregon,Accessories,Helmets,"Sport-100 Helmet, Red",3,13,35,51,39,90,Less than 100
2015-08-25,25,August,2015,28.0,Young Adults (25-34),F,UK,England,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,174,344,518,More or equal to 100
2014-02-09,9,Feb,2014,43.0,Adults (35-64),F,Canada,British Columbia,Clothing,Jerseys,"Long-Sleeve Logo Jersey, XL",2,38,50,23,76,99,Less than 100
2014-02-04,4,Feb,2014,51.0,Adults (35-64),F,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,18,2,5,52,36,88,Less than 100
2016-01-19,19,January,2016,45.0,Adults (35-64),F,Australia,New South Wales,Accessories,Helmets,"Sport-100 Helmet, Black",21,13,35,366,273,639,More or equal to 100
2014-01-31,31,January,2014,42.0,Adults (35-64),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,15,1,2,14,15,29,Less than 100
2014-01-31,31,January,2014,44.0,Adults (35-64),M,Australia,New South Wales,Accessories,Tires and Tubes,Patch Kit/8 Patches,7,1,2,5,7,12,Less than 100
2014-06-11,11,June,2014,31.0,Young Adults (25-34),M,Canada,British Columbia,Accessories,Tires and Tubes,Road Tire Tube,18,1,4,53,18,71,Less than 100
2013-07-23,23,July,2013,69.0,Seniors (64+),M,Australia,Queensland,Bikes,Road Bikes,"Road-250 Red, 58",1,1555,2443,497,1555,2052,More or equal to 100
2013-11-16,16,Nov,2013,27.0,Young Adults (25-34),F,USA,Washington,Accessories,Helmets,"Sport-100 Helmet, Blue",6,13,35,86,78,164,Less than 100
2015-12-03,3,Dec,2015,37.0,Adults (35-64),M,Canada,British Columbia,Accessories,Tires and Tubes,HL Mountain Tire,23,13,35,498,299,797,More or equal to 100
2013-09-21,21,September,2013,32.0,Young Adults (25-34),F,Australia,New South Wales,Accessories,Bottles and Cages,Water Bottle - 30 oz.,28,2,5,66,56,122,Less than 100
2014-03-29,29,Mar,2014,42.0,Adults (35-64),M,Australia,South Australia,Accessories,Hydration Packs,Hydration Pack - 70 oz.,14,21,55,337,294,631,More or equal to 100
2015-09-30,30,September,2015,31.0,Young Adults (25-34),M,Australia,Queensland,Accessories,Fenders,Bike Wash - Dissolver,1,3,8,4,3,7,Less than 100
2015-09-13,13,September,2015,53.0,Adults (35-64),M,UK,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320,961,1266,2227,More or equal to 100
2015-09-26,26,September,2015,41.0,Adults (35-64),F,United States,Oregon,Clothing,Jerseys,-----,3,42,54,13,126,139,Less than 100
2015-03-24,24,Mar,2015,28.0,Young Adults (25-34),M,UK,England,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578,1264,2171,3435,More or equal to 100
2015-10-31,31,October,2015,40.0,Adults (35-64),M,Germany,Saarland,Accessories,Tires and Tubes,Touring Tire,22,11,29,281,242,523,More or equal to 100
2013-12-28,28,Dec,2013,31.0,Young Adults (25-34),M,Canada,British Columbia,Clothing,Jerseys,-----,19,38,50,219,722,941,More or equal to 100
2014-04-29,29,April,2014,40.0,Adults (35-64),F,United Kingdom,England,Accessories,Hydration Packs,Hydration Pack - 70 oz.,18,21,55,572,378,950,More or equal to 100
2016-05-06,6,May,2016,35.0,Adults (35-64),M,Canada,British Columbia,Accessories,Fenders,Fender Set - Mountain,11,8,22,152,88,240,More or equal to 100
2015-08-25,25,August,2015,32.0,Young Adults (25-34),M,Australia,New South Wales,Accessories,Tires and Tubes,Road Tire Tube,28,1,4,69,28,97,Less than 100
2016-06-30,30,June,2016,29.0,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,21,2,5,62,42,104,Less than 100
2015-11-08,8,Nov,2015,39.0,Adults (35-64),M,United Kingdom,England,Bikes,Touring Bikes,"Touring-1000 Blue, 46",1,1482,2384,807,1482,2289,More or equal to 100
2014-04-14,14,April,2014,47.0,Adults (35-64),M,Canada,British Columbia,Accessories,Tires and Tubes,Road Tire Tube,28,1,4,83,28,111,Less than 100
2013-09-23,23,September,2013,38.0,Adults (35-64),M,Australia,Victoria,Clothing,Caps,-----,25,7,9,3,175,178,Less than 100
2016-01-11,11,January,2016,44.0,Adults (35-64),F,United Kingdom,England,Bikes,Touring Bikes,"Touring-1000 Yellow, 46",2,1482,2384,1613,2964,4577,More or equal to 100
2014-05-28,28,May,2014,35.0,Adults (35-64),F,Germany,Hamburg,Accessories,Tires and Tubes,Touring Tire Tube,4,2,5,11,8,19,Less than 100
2016-05-23,23,May,2016,26.0,Young Adults (25-34),M,United Kingdom,England,Accessories,Bottles and Cages,Road Bottle Cage,26,3,9,147,78,225,More or equal to 100
2016-07-30,30,July,2016,35.0,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,21,2,5,61,42,103,Less than 100
2014-04-09,9,April,2014,39.0,Adults (35-64),F,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578,620,2171,2791,More or equal to 100
2014-05-01,1,May,2014,48.0,Adults (35-64),M,Germany,Hamburg,Accessories,Bottles and Cages,Road Bottle Cage,26,3,9,140,78,218,More or equal to 100
2015-02-12,12,Feb,2015,48.0,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,1252,2295,745,1252,1997,More or equal to 100
2015-11-02,2,Nov,2015,41.0,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,ML Mountain Tire,3,11,30,55,33,88,Less than 100
2014-02-02,2,Feb,2014,51.0,Adults (35-64),M,USA,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,24,2,5,70,48,118,Less than 100
2016-07-28,28,July,2016,31.0,Young Adults (25-34),M,USA,California,Clothing,Jerseys,"Long-Sleeve Logo Jersey, L",3,38,50,33,114,147,Less than 100
2016-04-11,11,April,2016,48.0,Adults (35-64),F,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578,620,2171,2791,More or equal to 100
2013-01-24,24,January,2013,1.0,Youth (<25),M,Germany,Hessen,Bikes,Road Bikes,"Road-550-W Yellow, 38",1,713,1120,329,713,1042,More or equal to 100
2016-03-15,15,Mar,2016,24.0,Youth (<25),F,United States,California,Accessories,Tires and Tubes,ML Road Tire,5,9,25,78,45,123,Less than 100
2011-12-07,7,Dec,2011,25.0,Young Adults (25-34),M,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 58",3,1555,2443,2371,4665,7036,More or equal to 100
2014-03-09,9,Mar,2014,1.0,Youth (<25),M,France,Moselle,Accessories,Tires and Tubes,Road Tire Tube,7,1,4,18,7,25,Less than 100
2016-04-12,12,April,2016,55.0,Adults (35-64),F,USA,California,Accessories,Tires and Tubes,Mountain Tire Tube,29,2,5,84,58,142,Less than 100
2016-04-15,15,April,2016,42.0,Adults (35-64),F,United States,Oregon,Accessories,Bottles and Cages,Mountain Bottle Cage,4,4,10,18,16,34,Less than 100
2012-12-01,1,Dec,2012,42.0,Adults (35-64),M,United States,Washington,Bikes,Road Bikes,"Road-750 Black, 44",2,344,540,154,688,842,More or equal to 100
2013-09-14,14,September,2013,26.0,Young Adults (25-34),M,Australia,Victoria,Accessories,Bottles and Cages,Road Bottle Cage,4,3,9,16,12,28,Less than 100
2016-01-31,31,January,2016,31.0,Young Adults (25-34),M,Canada,British Columbia,Clothing,Shorts,"Women's Mountain Shorts, L",22,26,70,953,572,1525,More or equal to 100
2016-01-15,15,January,2016,49.0,Adults (35-64),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,28,1,2,27,28,55,Less than 100
2014-05-06,6,May,2014,1.0,Youth (<25),F,United States,California,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",18,38,50,198,684,882,More or equal to 100
2015-09-27,27,September,2015,39.0,Adults (35-64),F,United Kingdom,England,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",1,42,54,10,42,52,Less than 100
2013-12-27,27,Dec,2013,20.0,Youth (<25),F,Australia,Tasmania,Clothing,Caps,AWC Logo Cap,17,7,9,5,119,124,Less than 100
2015-09-01,1,September,2015,1.0,Youth (<25),F,USA,California,Clothing,Gloves,"Half-Finger Gloves, L",27,9,24,392,243,635,More or equal to 100
2016-06-04,4,June,2016,48.0,Adults (35-64),M,Canada,British Columbia,Clothing,Gloves,"Half-Finger Gloves, M",18,9,24,266,162,428,More or equal to 100
2015-10-20,20,October,2015,31.0,Young Adults (25-34),F,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,23,2,5,68,46,114,Less than 100
2015-11-21,21,Nov,2015,1.0,Youth (<25),M,United States,Oregon,Accessories,Tires and Tubes,Road Tire Tube,3,1,4,7,3,10,Less than 100
2016-06-14,14,June,2016,23.0,Youth (<25),M,Australia,New South Wales,Accessories,Tires and Tubes,HL Mountain Tire,4,13,35,70,52,122,Less than 100
2014-04-27,27,April,2014,1.0,Youth (<25),F,United States,California,Accessories,Fenders,Fender Set - Mountain,7,8,22,95,56,151,Less than 100
2016-01-04,4,January,2016,39.0,Adults (35-64),M,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,30,1,2,29,30,59,Less than 100
2015-12-26,26,Dec,2015,62.0,Adults (35-64),F,USA,California,Accessories,Helmets,"Sport-100 Helmet, Black",16,13,35,341,208,549,More or equal to 100
2016-01-19,19,January,2016,50.0,Adults (35-64),M,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,24,1,2,22,24,46,Less than 100
2014-07-25,25,July,2014,32.0,Young Adults (25-34),F,Australia,Victoria,Accessories,Fenders,Fender Set - Mountain,24,8,22,225,192,417,More or equal to 100
2014-04-12,12,April,2014,21.0,Youth (<25),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320,752,1266,2018,More or equal to 100
2014-03-07,7,Mar,2014,36.0,Adults (35-64),M,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,18,1,2,17,18,35,Less than 100
2016-04-14,14,April,2016,53.0,Adults (35-64),F,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,24,2,5,71,48,119,Less than 100
2013-09-13,13,September,2013,31.0,Young Adults (25-34),F,Australia,Victoria,Accessories,Tires and Tubes,Patch Kit/8 Patches,16,1,2,9,16,25,Less than 100
2013-12-14,14,Dec,2013,56.0,Adults (35-64),F,Australia,Victoria,Accessories,Bike Stands,-----,1,59,159,67,59,126,Less than 100
2016-01-02,2,January,2016,56.0,Adults (35-64),M,UK,England,Accessories,Helmets,"Sport-100 Helmet, Red",11,13,35,227,143,370,More or equal to 100
2016-01-25,25,January,2016,40.0,Adults (35-64),M,United States,Oregon,Accessories,Tires and Tubes,Road Tire Tube,26,1,4,63,26,89,Less than 100
2014-01-10,10,January,2014,59.0,Adults (35-64),M,United States,California,Accessories,Helmets,"Sport-100 Helmet, Red",11,13,35,234,143,377,More or equal to 100
2013-05-30,30,May,2013,21.0,Youth (<25),M,United Kingdom,England,Bikes,Road Bikes,"Road-550-W Yellow, 44",1,713,1120,362,713,1075,More or equal to 100
2013-07-12,12,July,2013,47.0,Adults (35-64),M,Australia,South Australia,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,763,2171,2934,More or equal to 100
2016-02-03,3,Feb,2016,24.0,Youth (<25),F,United Kingdom,England,Accessories,Bottles and Cages,Road Bottle Cage,21,3,9,118,63,181,More or equal to 100
2015-11-09,9,Nov,2015,40.0,Adults (35-64),M,USA,Washington,Accessories,Fenders,Fender Set - Mountain,21,8,22,192,168,360,More or equal to 100
2014-05-07,7,May,2014,56.0,Adults (35-64),F,United States,California,Clothing,Gloves,"Half-Finger Gloves, S",25,9,24,363,225,588,More or equal to 100
2016-06-23,23,June,2016,30.0,Young Adults (25-34),F,Australia,Queensland,Clothing,Caps,AWC Logo Cap,25,7,9,14,175,189,Less than 100
2015-12-07,7,Dec,2015,34.0,Young Adults (25-34),M,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,3,2,5,8,6,14,Less than 100
2014-06-13,13,June,2014,41.0,Adults (35-64),M,Germany,Hessen,Accessories,Bottles and Cages,Road Bottle Cage,6,3,9,32,18,50,Less than 100
2014-03-20,20,Mar,2014,32.0,Young Adults (25-34),F,Australia,New South Wales,Clothing,Vests,"Classic Vest, S",19,24,64,602,456,1058,More or equal to 100
2014-01-10,10,January,2014,31.0,Young Adults (25-34),M,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,1008,1266,2274,More or equal to 100
2014-02-05,5,Feb,2014,41.0,Adults (35-64),M,France,Seine (Paris),Accessories,Tires and Tubes,Touring Tire,25,11,29,320,275,595,More or equal to 100
2016-03-06,6,Mar,2016,1.0,Youth (<25),M,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Red",19,13,35,391,247,638,More or equal to 100
2015-09-19,19,September,2015,24.0,Youth (<25),F,Germany,Hamburg,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",15,38,50,128,570,698,More or equal to 100
2014-06-24,24,June,2014,19.0,Youth (<25),F,United Kingdom,England,Clothing,Caps,AWC Logo Cap,21,7,9,34,147,181,Less than 100
2014-01-24,24,January,2014,30.0,Young Adults (25-34),M,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,174,344,518,More or equal to 100
2016-05-18,18,May,2016,33.0,Young Adults (25-34),F,Australia,Victoria,Accessories,Tires and Tubes,Mountain Tire Tube,5,2,5,10,10,20,Less than 100
2014-05-12,12,May,2014,38.0,Adults (35-64),M,Australia,New South Wales,Bikes,Touring Bikes,"Touring-1000 Yellow, 46",1,1482,2384,592,1482,2074,More or equal to 100
