Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
17/3/2016,17,March,2016,35,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-500 Silver, 42",1,308,565,184,308,492
29/9/2013,29,September,2013,27,Young Adults (25-34),M,France,Nord,Bikes,Road Bikes,"Road-550-W Yellow, 48",1,713,1120,261,713,974
20/12/2013,20,December,2013,34,Young Adults (25-34),F,France,Essonne,Accessories,Helmets,"Sport-100 Helmet, Red",11,13,35,227,143,370
19/5/2016,19,May,2016,19,Youth (<25),M,United Kingdom,England,Accessories,Tires and Tubes,Touring Tire Tube,14,2,5,39,28,67
12/12/2011,12,December,2011,33,Young Adults (25-34),F,United Kingdom,England,Bikes,Road Bikes,"Road-350-W Yellow, 48",3,1083,1701,1650,3249,4899
11/4/2014,11,April,2014,43,Adults (35-64),M,United States,California,Accessories,Tires and Tubes,HL Mountain Tire,26,13,35,554,338,892
28/7/2016,28,July,2016,19,Youth (<25),F,France,Garonne (Haute),Accessories,Tires and Tubes,Patch Kit/8 Patches,19,1,2,17,19,36
4/1/2016,4,January,2016,45,Adults (35-64),M,France,Seine (Paris),Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,636,1266,1902
31/12/2015,31,December,2015,58,Adults (35-64),M,United Kingdom,England,Accessories,Bottles and Cages,Road Bottle Cage,1,3,9,6,3,9
3/5/2014,3,May,2014,29,Young Adults (25-34),M,Germany,Hessen,Clothing,Caps,AWC Logo Cap,12,7,9,16,84,100
1/11/2015,1,November,2015,55,Adults (35-64),F,United States,Oregon,Accessories,Bottles and Cages,Mountain Bottle Cage,6,4,10,28,24,52
5/6/2014,5,June,2014,45,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Road Tire Tube,5,1,4,15,5,20
4/6/2014,4,June,2014,34,Young Adults (25-34),F,Australia,New South Wales,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",25,42,54,125,1050,1175
3/6/2015,3,June,2015,46,Adults (35-64),F,Australia,New South Wales,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,126,344,470
28/6/2016,28,June,2016,35,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,17,2,5,49,34,83
4/4/2016,4,April,2016,17,Youth (<25),M,Australia,Victoria,Bikes,Road Bikes,"Road-650 Black, 58",1,487,783,132,487,619
27/4/2014,27,April,2014,53,Adults (35-64),F,Canada,British Columbia,Clothing,Shorts,"Women's Mountain Shorts, L",14,26,70,606,364,970
24/11/2015,24,November,2015,59,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,590,360,950
23/8/2013,23,August,2013,29,Young Adults (25-34),M,Australia,Queensland,Bikes,Road Bikes,"Road-250 Black, 52",1,1555,2443,497,1555,2052
23/2/2016,23,February,2016,36,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,16,1,2,15,16,31
29/11/2013,29,November,2013,29,Young Adults (25-34),F,Canada,British Columbia,Bikes,Road Bikes,"Road-150 Red, 56",1,2171,3578,1371,2171,3542
17/6/2014,17,June,2014,41,Adults (35-64),F,United States,California,Accessories,Fenders,Fender Set - Mountain,28,8,22,380,224,604
9/4/2014,9,April,2014,29,Young Adults (25-34),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,961,1266,2227
1/5/2014,1,May,2014,39,Adults (35-64),F,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 56",1,2171,3578,656,2171,2827
12/8/2013,12,August,2013,34,Young Adults (25-34),M,Australia,Queensland,Accessories,Tires and Tubes,HL Road Tire,17,12,33,267,204,471
16/3/2014,16,March,2014,35,Adults (35-64),M,United States,Washington,Clothing,Gloves,"Half-Finger Gloves, M",4,9,24,39,36,75
4/11/2015,4,November,2015,37,Adults (35-64),F,Canada,British Columbia,Accessories,Tires and Tubes,Road Tire Tube,28,1,4,83,28,111
21/6/2014,21,June,2014,33,Young Adults (25-34),F,France,Hauts de Seine,Accessories,Helmets,"Sport-100 Helmet, Blue",17,13,35,332,221,553
9/10/2015,9,October,2015,47,Adults (35-64),M,United States,California,Accessories,Tires and Tubes,LL Road Tire,6,8,21,75,48,123
10/2/2016,10,February,2016,44,Adults (35-64),F,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",2,1266,2320,1458,2532,3990
10/4/2014,10,April,2014,50,Adults (35-64),F,Australia,New South Wales,Accessories,Bottles and Cages,Water Bottle - 30 oz.,20,2,5,47,40,87
2/10/2013,2,October,2013,37,Adults (35-64),F,United Kingdom,England,Clothing,Caps,AWC Logo Cap,17,7,9,28,119,147
25/5/2016,25,May,2016,37,Adults (35-64),M,Germany,Hessen,Accessories,Tires and Tubes,LL Mountain Tire,9,9,25,128,81,209
16/7/2014,16,July,2014,52,Adults (35-64),M,Germany,Saarland,Accessories,Tires and Tubes,LL Road Tire,13,8,21,120,104,224
25/2/2014,25,February,2014,50,Adults (35-64),M,United States,Oregon,Clothing,Gloves,"Half-Finger Gloves, S",3,9,24,35,27,62
10/1/2014,10,January,2014,34,Young Adults (25-34),M,France,Hauts de Seine,Accessories,Helmets,"Sport-100 Helmet, Blue",10,13,35,196,130,326
22/1/2014,22,January,2014,28,Young Adults (25-34),M,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,25,2,5,70,50,120
9/12/2013,9,December,2013,27,Young Adults (25-34),M,Australia,Queensland,Accessories,Tires and Tubes,Patch Kit/8 Patches,22,1,2,15,22,37
26/3/2011,26,March,2011,35,Adults (35-64),M,Canada,British Columbia,Bikes,Road Bikes,"Road-750 Black, 52",1,344,540,191,344,535
7/1/2016,7,January,2016,52,Adults (35-64),F,Germany,Saarland,Accessories,Tires and Tubes,Touring Tire Tube,2,2,5,4,4,8
25/3/2016,25,March,2016,21,Youth (<25),M,France,Seine Saint Denis,Accessories,Tires and Tubes,Patch Kit/8 Patches,2,1,2,1,2,3
25/5/2014,25,May,2014,84,Seniors (64+),F,United Kingdom,England,Accessories,Tires and Tubes,ML Mountain Tire,11,11,30,196,121,317
18/8/2015,18,August,2015,38,Adults (35-64),F,United States,California,Clothing,Caps,AWC Logo Cap,25,7,9,46,175,221
14/12/2013,14,December,2013,38,Adults (35-64),F,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,683,1266,1949
18/4/2016,18,April,2016,35,Adults (35-64),M,Australia,New South Wales,Accessories,Cleaners,Bike Wash - Dissolver,24,3,8,95,72,167
24/7/2016,24,July,2016,18,Youth (<25),F,United States,Washington,Accessories,Tires and Tubes,Touring Tire Tube,2,2,5,4,4,8
29/6/2014,29,June,2014,49,Adults (35-64),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,25,1,2,24,25,49
19/12/2015,19,December,2015,31,Young Adults (25-34),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,1252,2295,997,1252,2249
13/11/2011,13,November,2011,28,Young Adults (25-34),M,Australia,Tasmania,Bikes,Road Bikes,"Road-250 Black, 52",4,1555,2443,1695,6220,7915
31/1/2014,31,January,2014,42,Adults (35-64),M,United States,California,Clothing,Caps,AWC Logo Cap,5,7,9,9,35,44
3/5/2016,3,May,2016,25,Young Adults (25-34),F,Germany,Nordrhein-Westfalen,Accessories,Helmets,"Sport-100 Helmet, Black",5,13,35,87,65,152
18/3/2016,18,March,2016,31,Young Adults (25-34),M,Australia,New South Wales,Accessories,Bottles and Cages,Water Bottle - 30 oz.,14,2,5,33,28,61
4/2/2012,4,February,2012,20,Youth (<25),F,Australia,Victoria,Bikes,Road Bikes,"Road-550-W Yellow, 44",2,713,1120,344,1426,1770
26/10/2013,26,October,2013,20,Youth (<25),M,Australia,Queensland,Accessories,Tires and Tubes,Patch Kit/8 Patches,5,1,2,3,5,8
15/10/2013,15,October,2013,29,Young Adults (25-34),M,United States,Washington,Accessories,Cleaners,Bike Wash - Dissolver,21,3,8,68,63,131
9/3/2016,9,March,2016,21,Youth (<25),M,Australia,Victoria,Accessories,Bottles and Cages,Water Bottle - 30 oz.,3,2,5,6,6,12
6/10/2015,6,October,2015,23,Youth (<25),F,France,Seine (Paris),Accessories,Tires and Tubes,LL Road Tire,26,8,21,240,208,448
27/5/2014,27,May,2014,18,Youth (<25),M,Australia,Victoria,Accessories,Helmets,"Sport-100 Helmet, Red",20,13,35,293,260,553
20/6/2014,20,June,2014,65,Seniors (64+),M,United States,California,Clothing,Caps,AWC Logo Cap,17,7,9,31,119,150
11/1/2016,11,January,2016,34,Young Adults (25-34),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,22,1,2,21,22,43
4/11/2013,4,November,2013,37,Adults (35-64),F,Canada,British Columbia,Accessories,Tires and Tubes,Road Tire Tube,2,1,4,6,2,8
5/3/2016,5,March,2016,35,Adults (35-64),M,United Kingdom,England,Accessories,Tires and Tubes,Touring Tire Tube,25,2,5,70,50,120
22/2/2014,22,February,2014,36,Adults (35-64),F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Black",28,13,35,596,364,960
30/5/2014,30,May,2014,50,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,25,2,5,73,50,123
15/8/2013,15,August,2013,30,Young Adults (25-34),F,United States,Washington,Accessories,Tires and Tubes,Road Tire Tube,20,1,4,42,20,62
31/3/2014,31,March,2014,24,Youth (<25),F,Canada,British Columbia,Accessories,Cleaners,Bike Wash - Dissolver,15,3,8,74,45,119
13/5/2016,13,May,2016,49,Adults (35-64),M,Australia,Queensland,Accessories,Bottles and Cages,Mountain Bottle Cage,1,4,10,4,4,8
11/9/2015,11,September,2015,38,Adults (35-64),F,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,24,2,5,70,48,118
26/10/2015,26,October,2015,23,Youth (<25),F,Australia,South Australia,Accessories,Tires and Tubes,ML Mountain Tire,11,11,30,150,121,271
21/7/2016,21,July,2016,33,Young Adults (25-34),F,United States,Washington,Accessories,Tires and Tubes,Mountain Tire Tube,10,2,5,19,20,39
13/12/2013,13,December,2013,59,Adults (35-64),F,Australia,New South Wales,Clothing,Jerseys,"Long-Sleeve Logo Jersey, XL",9,38,50,50,342,392
5/3/2016,5,March,2016,17,Youth (<25),M,United States,Oregon,Clothing,Jerseys,"Long-Sleeve Logo Jersey, L",2,38,50,10,76,86
10/10/2015,10,October,2015,21,Youth (<25),M,Australia,New South Wales,Accessories,Hydration Packs,Hydration Pack - 70 oz.,24,21,55,644,504,1148
31/5/2014,31,May,2014,19,Youth (<25),M,Germany,Hessen,Accessories,Cleaners,Bike Wash - Dissolver,14,3,8,62,42,104
3/2/2014,3,February,2014,50,Adults (35-64),M,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Red",15,13,35,325,195,520
29/10/2013,29,October,2013,39,Adults (35-64),M,United States,Washington,Accessories,Tires and Tubes,Mountain Tire Tube,4,2,5,8,8,16
14/8/2015,14,August,2015,30,Young Adults (25-34),F,United States,Washington,Accessories,Helmets,"Sport-100 Helmet, Black",31,13,35,443,403,846
13/12/2015,13,December,2015,27,Young Adults (25-34),M,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,1,2,5,3,2,5
3/12/2015,3,December,2015,40,Adults (35-64),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 42",1,713,1120,385,713,1098
29/10/2013,29,October,2013,60,Adults (35-64),M,Australia,Queensland,Clothing,Vests,"Classic Vest, L",6,24,64,179,144,323
17/7/2014,17,July,2014,25,Young Adults (25-34),M,United States,Washington,Accessories,Helmets,"Sport-100 Helmet, Black",9,13,35,129,117,246
24/4/2014,24,April,2014,23,Youth (<25),F,Australia,Victoria,Accessories,Tires and Tubes,Patch Kit/8 Patches,19,1,2,11,19,30
25/8/2013,25,August,2013,28,Young Adults (25-34),F,United States,California,Accessories,Tires and Tubes,LL Road Tire,10,8,21,126,80,206
14/3/2016,14,March,2016,25,Young Adults (25-34),M,Australia,New South Wales,Clothing,Gloves,"Half-Finger Gloves, L",5,9,24,59,45,104
11/7/2013,11,July,2013,28,Young Adults (25-34),M,Australia,New South Wales,Accessories,Tires and Tubes,ML Road Tire,22,9,25,281,198,479
7/4/2014,7,April,2014,44,Adults (35-64),M,United Kingdom,England,Accessories,Fenders,Fender Set - Mountain,18,8,22,236,144,380
11/3/2016,11,March,2016,41,Adults (35-64),F,United States,Washington,Accessories,Hydration Packs,Hydration Pack - 70 oz.,1,21,55,22,21,43
8/12/2013,8,December,2013,46,Adults (35-64),M,United States,California,Bikes,Touring Bikes,"Touring-1000 Blue, 46",1,1482,2384,854,1482,2336
3/2/2014,3,February,2014,31,Young Adults (25-34),F,Australia,Queensland,Accessories,Tires and Tubes,Patch Kit/8 Patches,21,1,2,14,21,35
19/9/2012,19,September,2012,21,Youth (<25),F,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Black, 58",2,1555,2443,1141,3110,4251
3/5/2014,3,May,2014,52,Adults (35-64),M,United Kingdom,England,Accessories,Tires and Tubes,Road Tire Tube,23,1,4,65,23,88
30/8/2015,30,August,2015,35,Adults (35-64),M,Canada,British Columbia,Accessories,Fenders,Fender Set - Mountain,3,8,22,41,24,65
13/1/2013,13,January,2013,38,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-250 Black, 52",1,1555,2443,790,1555,2345
2/11/2013,2,November,2013,52,Adults (35-64),F,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,18,2,5,52,36,88
29/10/2013,29,October,2013,24,Youth (<25),F,United States,Washington,Accessories,Tires and Tubes,Patch Kit/8 Patches,20,1,2,11,20,31
22/8/2015,22,August,2015,20,Youth (<25),M,Canada,British Columbia,Accessories,Fenders,Fender Set - Mountain,7,8,22,96,56,152
1/6/2014,1,June,2014,37,Adults (35-64),M,Australia,Victoria,Accessories,Tires and Tubes,Patch Kit/8 Patches,2,1,2,1,2,3
15/12/2015,15,December,2015,66,Seniors (64+),M,Australia,New South Wales,Accessories,Tires and Tubes,Mountain Tire Tube,1,2,5,2,2,4
5/7/2014,5,July,2014,38,Adults (35-64),M,Canada,British Columbia,Clothing,Vests,"Classic Vest, L",14,24,64,551,336,887
24/7/2016,24,July,2016,,,F,United States,California,Clothing,Caps,AWC Logo Cap,5,7,9,9,35,44
5/9/2015,5,September,2015,45,Adults (35-64),M,Canada,British Columbia,Accessories,Tires and Tubes,Touring Tire Tube,15,2,5,44,30,74
27/12/2013,27,December,2013,34,Young Adults (25-34),M,Australia,Tasmania,Clothing,Jerseys,"Long-Sleeve Logo Jersey, XL",16,38,50,40,608,648
19/3/2016,19,March,2016,58,Adults (35-64),M,United States,California,Accessories,Helmets,"Sport-100 Helmet, Black",15,13,35,320,195,515
25/9/2013,25,September,2013,22,Youth (<25),F,France,Yveline,Accessories,Tires and Tubes,Mountain Tire Tube,24,2,5,43,48,91
31/3/2016,31,March,2016,40,Adults (35-64),M,United States,California,Clothing,Shorts,"Women's Mountain Shorts, S",21,26,70,895,546,1441
29/3/2014,29,March,2014,44,Adults (35-64),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,961,1266,2227
11/6/2014,11,June,2014,53,Adults (35-64),F,Germany,Saarland,Accessories,Fenders,Fender Set - Mountain,11,8,22,110,88,198
7/5/2016,7,May,2016,30,Young Adults (25-34),F,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,8,1,2,8,8,16
1/6/2016,1,June,2016,43,Adults (35-64),F,Australia,Victoria,Accessories,Helmets,"Sport-100 Helmet, Blue",22,13,35,322,286,608
29/6/2016,29,June,2016,30,Young Adults (25-34),M,United Kingdom,England,Clothing,Caps,AWC Logo Cap,22,7,9,36,154,190
1/10/2013,1,October,2013,31,Young Adults (25-34),F,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,16,1,2,15,16,31
26/12/2015,26,December,2015,37,Adults (35-64),F,Australia,Victoria,Accessories,Hydration Packs,Hydration Pack - 70 oz.,21,21,55,471,441,912
18/7/2014,18,July,2014,29,Young Adults (25-34),F,United Kingdom,England,Accessories,Cleaners,Bike Wash - Dissolver,22,3,8,103,66,169
14/6/2014,14,June,2014,38,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 56",1,2171,3578,1264,2171,3435
23/1/2016,23,January,2016,40,Adults (35-64),M,Canada,British Columbia,Clothing,Jerseys,"Long-Sleeve Logo Jersey, XL",10,38,50,115,380,495
17/4/2015,17,April,2015,33,Young Adults (25-34),F,France,Nord,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,1884,4342,6226
11/9/2012,11,September,2012,35,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 44",2,344,540,349,688,1037
20/2/2014,20,February,2014,49,Adults (35-64),M,United States,California,Clothing,Gloves,"Half-Finger Gloves, L",12,9,24,174,108,282
31/5/2015,31,May,2015,53,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-250 Black, 52",2,1555,2443,1581,3110,4691
21/8/2013,21,August,2013,44,Adults (35-64),F,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,25,2,5,73,50,123
26/7/2014,26,July,2014,24,Youth (<25),M,United States,Oregon,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",6,42,54,27,252,279
14/12/2013,14,December,2013,38,Adults (35-64),F,Australia,Queensland,Accessories,Bottles and Cages,Water Bottle - 30 oz.,17,2,5,37,34,71
11/10/2015,11,October,2015,24,Youth (<25),F,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Black, 58",1,1555,2443,570,1555,2125
27/7/2013,27,July,2013,28,Young Adults (25-34),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",24,42,54,3,1008,1011
24/2/2014,24,February,2014,40,Adults (35-64),M,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320,752,1266,2018
8/2/2011,8,February,2011,22,Youth (<25),F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",2,1266,2320,1922,2532,4454
26/6/2014,26,June,2014,49,Adults (35-64),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,19,1,2,18,19,37
4/10/2013,4,October,2013,33,Young Adults (25-34),M,Germany,Hessen,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,1252,2295,882,1252,2134
24/8/2013,24,August,2013,34,Young Adults (25-34),M,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,16,1,2,16,16,32
28/5/2013,28,May,2013,33,Young Adults (25-34),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,1252,2295,745,1252,1997
10/1/2016,10,January,2016,34,Young Adults (25-34),F,United States,Oregon,Accessories,Bottles and Cages,Water Bottle - 30 oz.,11,2,5,25,22,47
16/5/2014,16,May,2014,38,Adults (35-64),M,Canada,British Columbia,Accessories,Tires and Tubes,ML Road Tire,10,9,25,158,90,248
3/7/2016,3,July,2016,32,Young Adults (25-34),F,United Kingdom,England,Accessories,Tires and Tubes,Road Tire Tube,26,1,4,74,26,100
28/7/2016,28,July,2016,36,Adults (35-64),M,Canada,British Columbia,Accessories,Fenders,Fender Set - Mountain,28,8,22,386,224,610
9/4/2016,9,April,2016,26,Young Adults (25-34),F,Australia,Queensland,Accessories,Tires and Tubes,HL Mountain Tire,12,13,35,197,156,353
22/3/2016,22,March,2016,19,Youth (<25),F,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,27,1,2,26,27,53
19/3/2014,19,March,2014,39,Adults (35-64),M,United Kingdom,England,Bikes,Touring Bikes,"Touring-1000 Blue, 46",1,1482,2384,807,1482,2289
11/1/2014,11,January,2014,48,Adults (35-64),F,Australia,New South Wales,Clothing,Socks,"Racing Socks, M",8,3,9,39,24,63
8/3/2014,8,March,2014,35,Adults (35-64),M,Germany,Saarland,Bikes,Touring Bikes,"Touring-2000 Blue, 54",1,755,1215,241,755,996
26/1/2016,26,January,2016,51,Adults (35-64),F,France,Yveline,Accessories,Tires and Tubes,LL Road Tire,26,8,21,207,208,415
2/11/2013,2,November,2013,20,Youth (<25),M,Germany,Bayern,Accessories,Tires and Tubes,Touring Tire Tube,30,2,5,89,60,149
4/12/2015,4,December,2015,34,Young Adults (25-34),M,United States,California,Clothing,Gloves,"Half-Finger Gloves, M",27,9,24,392,243,635
15/8/2013,15,August,2013,31,Young Adults (25-34),M,United States,Washington,Bikes,Touring Bikes,"Touring-1000 Blue, 50",1,1482,2384,378,1482,1860
3/11/2013,3,November,2013,37,Adults (35-64),M,Canada,British Columbia,Accessories,Fenders,Fender Set - Mountain,15,8,22,207,120,327
20/4/2014,20,April,2014,55,Adults (35-64),F,France,Nord,Accessories,Tires and Tubes,Touring Tire Tube,5,2,5,12,10,22
6/1/2016,6,January,2016,53,Adults (35-64),F,United States,California,Clothing,Caps,AWC Logo Cap,17,7,9,31,119,150
18/8/2013,18,August,2013,31,Young Adults (25-34),F,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Blue",15,13,35,309,195,504
3/6/2016,3,June,2016,19,Youth (<25),M,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",1,420,769,334,420,754
3/2/2014,3,February,2014,28,Young Adults (25-34),M,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Black",11,13,35,227,143,370
25/7/2016,25,July,2016,18,Youth (<25),M,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,20,2,5,59,40,99
13/2/2014,13,February,2014,39,Adults (35-64),F,Australia,Queensland,Accessories,Tires and Tubes,Patch Kit/8 Patches,26,1,2,18,26,44
5/3/2014,5,March,2014,20,Youth (<25),F,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Red",9,13,35,185,117,302
20/5/2016,20,May,2016,41,Adults (35-64),M,United Kingdom,England,Bikes,Touring Bikes,"Touring-1000 Yellow, 50",1,1482,2384,807,1482,2289
22/6/2016,22,June,2016,32,Young Adults (25-34),F,United States,Oregon,Accessories,Helmets,"Sport-100 Helmet, Red",22,13,35,376,286,662
7/6/2016,7,June,2016,69,Seniors (64+),M,United States,California,Clothing,Gloves,"Half-Finger Gloves, S",26,9,24,378,234,612
29/12/2015,29,December,2015,49,Adults (35-64),M,United States,Oregon,Accessories,Tires and Tubes,Road Tire Tube,21,1,4,51,21,72
9/12/2013,9,December,2013,34,Young Adults (25-34),M,United Kingdom,England,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",6,42,54,59,252,311
9/4/2016,9,April,2016,30,Young Adults (25-34),M,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,3,2,5,8,6,14
19/2/2014,19,February,2014,58,Adults (35-64),F,Australia,Victoria,Clothing,Caps,AWC Logo Cap,11,7,9,1,77,78
4/6/2014,4,June,2014,56,Adults (35-64),M,France,Seine (Paris),Accessories,Cleaners,Bike Wash - Dissolver,1,3,8,4,3,7
14/6/2014,14,June,2014,36,Adults (35-64),F,Australia,New South Wales,Clothing,Gloves,"Half-Finger Gloves, L",5,9,24,59,45,104
2/12/2013,2,December,2013,28,Young Adults (25-34),F,Australia,Queensland,Accessories,Bottles and Cages,Water Bottle - 30 oz.,18,2,5,40,36,76
22/5/2016,22,May,2016,44,Adults (35-64),F,United States,California,Accessories,Fenders,Fender Set - Mountain,27,8,22,366,216,582
27/4/2014,27,April,2014,30,Young Adults (25-34),M,Germany,Nordrhein-Westfalen,Accessories,Bottles and Cages,Mountain Bottle Cage,27,4,10,127,108,235
4/5/2016,4,May,2016,31,Young Adults (25-34),M,United States,California,Accessories,Helmets,"Sport-100 Helmet, Red",23,13,35,490,299,789
11/12/2013,11,December,2013,29,Young Adults (25-34),M,United States,Oregon,Accessories,Bottles and Cages,Road Bottle Cage,6,3,9,28,18,46
1/12/2015,1,December,2015,42,Adults (35-64),F,United Kingdom,England,Clothing,Socks,"Racing Socks, L",31,3,9,175,93,268
16/5/2014,16,May,2014,45,Adults (35-64),M,United States,Washington,Accessories,Helmets,"Sport-100 Helmet, Blue",9,13,35,129,117,246
6/5/2012,6,May,2012,49,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-750 Black, 52",2,344,540,252,688,940
29/4/2014,29,April,2014,29,Young Adults (25-34),M,United States,California,Accessories,Tires and Tubes,Touring Tire,3,11,29,52,33,85
13/6/2016,13,June,2016,20,Youth (<25),F,United Kingdom,England,Accessories,Tires and Tubes,Road Tire Tube,13,1,4,37,13,50
14/5/2014,14,May,2014,32,Young Adults (25-34),M,Australia,Victoria,Accessories,Bottles and Cages,Road Bottle Cage,4,3,9,16,12,28
14/6/2016,14,June,2016,45,Adults (35-64),M,Australia,Victoria,Bikes,Road Bikes,"Road-650 Black, 52",1,487,783,132,487,619
28/3/2012,28,March,2012,57,Adults (35-64),M,United States,California,Bikes,Road Bikes,"Road-250 Red, 58",2,1555,2443,1678,3110,4788
