Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue,Profit_Label
17/10/2013,17,October,2013,50,Adults (35-64),F,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Black",26,13,35,536,338,874,More or equal to 100
26/12/2013,26,December,2013,62,Adults (35-64),F,United States,California,Accessories,Bottles and Cages,Road Bottle Cage,20,3,9,116,60,176,More or equal to 100
2/8/2013,2,August,2013,51,Adults (35-64),M,France,Nord,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,1252,2295,745,1252,1997,More or equal to 100
29/5/2016,29,May,2016,32,Young Adults (25-34),M,Australia,New South Wales,Clothing,Caps,AWC Logo Cap,14,7,9,12,98,110,Less than 100
11/12/2013,11,December,2013,17,Youth (<25),F,United Kingdom,England,Accessories,Tires and Tubes,Touring Tire Tube,30,2,5,84,60,144,Less than 100
22/10/2013,22,October,2013,39,Adults (35-64),M,United States,Washington,Clothing,Jerseys,"Long-Sleeve Logo Jersey, XL",23,38,50,23,874,897,Less than 100
14/12/2012,14,December,2012,37,Adults (35-64),M,Germany,Saarland,Bikes,Road Bikes,"Road-550-W Yellow, 38",2,713,1120,411,1426,1837,More or equal to 100
20/6/2016,20,June,2016,35,Adults (35-64),M,Australia,New South Wales,Accessories,Tires and Tubes,Patch Kit/8 Patches,25,1,2,19,25,44,Less than 100
3/11/2013,3,November,2013,39,Adults (35-64),F,United States,California,Bikes,Road Bikes,-----,1,2171,3578,1335,2171,3506,More or equal to 100
17/4/2013,17,April,2013,46,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-350-W Yellow, 48",1,1083,1701,584,1083,1667,More or equal to 100
8/7/2016,8,July,2016,33,Young Adults (25-34),M,Australia,Victoria,Accessories,Hydration Packs,Hydration Pack - 70 oz.,24,21,55,539,504,1043,More or equal to 100
27/6/2011,27,June,2011,25,Young Adults (25-34),M,Australia,Queensland,Bikes,Road Bikes,-----,1,713,1120,228,713,941,More or equal to 100
3/1/2014,3,January,2014,27,Young Adults (25-34),M,Canada,British Columbia,Accessories,Tires and Tubes,-----,13,2,5,38,26,64,Less than 100
3/2/2016,3,February,2016,46,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 40",1,420,769,334,420,754,More or equal to 100
12/9/2015,12,September,2015,18,Youth (<25),M,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 48",3,344,540,523,1032,1555,More or equal to 100
28/12/2013,28,December,2013,43,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,28,2,5,81,56,137,Less than 100
9/4/2016,9,April,2016,23,Youth (<25),M,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Red",2,13,35,43,26,69,Less than 100
12/12/2013,12,December,2013,30,Young Adults (25-34),F,United States,California,Bikes,Road Bikes,"Road-650 Black, 58",1,487,783,280,487,767,More or equal to 100
30/12/2015,30,December,2015,24,Youth (<25),F,Australia,New South Wales,Accessories,Tires and Tubes,Patch Kit/8 Patches,26,1,2,19,26,45,Less than 100
29/4/2014,29,April,2014,58,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,1008,1266,2274,More or equal to 100
24/11/2013,24,November,2013,46,Adults (35-64),M,Australia,New South Wales,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",9,42,54,45,378,423,Less than 100
1/3/2014,1,March,2014,38,Adults (35-64),M,Germany,Hessen,Accessories,Bottles and Cages,Water Bottle - 30 oz.,25,2,5,66,50,116,Less than 100
17/6/2016,17,June,2016,18,Youth (<25),M,Australia,Queensland,Accessories,Tires and Tubes,Patch Kit/8 Patches,20,1,2,14,20,34,Less than 100
3/6/2014,3,June,2014,47,Adults (35-64),F,Australia,Queensland,Accessories,Bottles and Cages,Water Bottle - 30 oz.,16,2,5,35,32,67,Less than 100
10/10/2015,10,October,2015,26,Young Adults (25-34),F,United Kingdom,England,Accessories,Tires and Tubes,Touring Tire Tube,1,2,5,3,2,5,Less than 100
12/1/2015,12,January,2015,37,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-350-W Yellow, 48",3,1083,1701,1650,3249,4899,More or equal to 100
1/8/2015,1,August,2015,48,Adults (35-64),F,Australia,Queensland,Accessories,Tires and Tubes,Patch Kit/8 Patches,30,1,2,20,30,50,Less than 100
8/9/2011,8,September,2011,26,Young Adults (25-34),M,France,Seine (Paris),Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,1252,2295,630,1252,1882,More or equal to 100
18/4/2016,18,April,2016,30,Young Adults (25-34),M,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,12,2,5,35,24,59,Less than 100
6/5/2012,6,May,2012,49,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-750 Black, 52",2,344,540,252,688,940,More or equal to 100
14/5/2014,14,May,2014,33,Youth (<25),M,United States,Oregon,Accessories,Bottles and Cages,Mountain Bottle Cage,11,4,10,51,44,95,Less than 100
21/4/2011,21,April,2011,47,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-500 Silver, 42",1,308,565,184,308,492,More or equal to 100
9/2/2016,9,February,2016,37,Adults (35-64),M,United States,Oregon,Accessories,Cleaners,Bike Wash - Dissolver,4,3,8,16,12,28,Less than 100
20/6/2014,20,June,2014,30,Young Adults (25-34),F,Australia,New South Wales,Accessories,Tires and Tubes,Mountain Tire Tube,29,2,5,68,58,126,Less than 100
14/10/2015,14,October,2015,18,Youth (<25),F,France,Yveline,Accessories,Tires and Tubes,Road Tire Tube,20,1,4,41,20,61,Less than 100
23/4/2016,23,April,2016,44,Adults (35-64),F,United States,Washington,Clothing,Caps,AWC Logo Cap,16,7,9,0,112,112,Less than 100
8/8/2015,8,August,2015,34,Young Adults (25-34),M,France,Nord,Accessories,Tires and Tubes,Patch Kit/8 Patches,6,1,2,4,6,10,Less than 100
29/5/2014,29,May,2014,34,Young Adults (25-34),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,18,1,2,17,18,35,Less than 100
3/6/2016,3,June,2016,45,Adults (35-64),M,Australia,Victoria,Accessories,Cleaners,-----,1,3,8,3,3,6,Less than 100
26/3/2016,26,March,2016,33,Youth (<25),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,7,1,2,7,7,14,Less than 100
28/9/2015,28,September,2015,18,Youth (<25),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,544,1266,1810,More or equal to 100
17/11/2015,17,November,2015,22,Youth (<25),F,Germany,Saarland,Accessories,Tires and Tubes,Touring Tire,22,11,29,281,242,523,More or equal to 100
10/5/2016,10,May,2016,56,Adults (35-64),M,Australia,Queensland,Accessories,Tires and Tubes,Mountain Tire Tube,2,2,5,4,4,8,Less than 100
22/2/2014,22,February,2014,28,Young Adults (25-34),F,Australia,Victoria,Accessories,Tires and Tubes,Patch Kit/8 Patches,21,1,2,12,21,33,Less than 100
20/9/2015,20,September,2015,42,Adults (35-64),M,United States,Oregon,Accessories,Helmets,"Sport-100 Helmet, Blue",24,13,35,410,312,722,More or equal to 100
1/10/2015,1,October,2015,26,Young Adults (25-34),M,United Kingdom,England,Accessories,Bottles and Cages,Road Bottle Cage,4,3,9,23,12,35,Less than 100
21/6/2016,21,June,2016,22,Youth (<25),F,France,Seine (Paris),Accessories,Tires and Tubes,Road Tire Tube,24,1,4,55,24,79,Less than 100
21/6/2016,21,June,2016,45,Adults (35-64),M,France,Hauts de Seine,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,892,1266,2158,More or equal to 100
19/3/2016,19,March,2016,24,Youth (<25),M,United States,Washington,Accessories,Helmets,"Sport-100 Helmet, Red",11,13,35,157,143,300,More or equal to 100
7/11/2013,7,November,2013,27,Young Adults (25-34),F,Canada,British Columbia,Clothing,Jerseys,"Long-Sleeve Logo Jersey, XL",9,38,50,104,342,446,More or equal to 100
15/5/2016,15,May,2016,34,Young Adults (25-34),F,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,9,2,5,27,18,45,Less than 100
16/12/2013,16,December,2013,21,Youth (<25),F,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,8,1,2,8,8,16,Less than 100
9/9/2013,9,September,2013,29,Young Adults (25-34),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,20,2,5,42,40,82,Less than 100
16/4/2013,16,April,2013,25,Young Adults (25-34),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-400-W Silver, 38",1,420,769,318,420,738,More or equal to 100
21/6/2014,21,June,2014,33,Youth (<25),F,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,19,2,5,53,38,91,Less than 100
11/7/2016,11,July,2016,40,Adults (35-64),M,Canada,British Columbia,Accessories,Tires and Tubes,ML Mountain Tire,8,11,30,150,88,238,More or equal to 100
15/9/2015,15,September,2015,30,Young Adults (25-34),M,Canada,British Columbia,Clothing,Gloves,"Half-Finger Gloves, L",22,9,24,325,198,523,More or equal to 100
23/8/2013,23,August,2013,33,Young Adults (25-34),F,Australia,New South Wales,Clothing,Caps,AWC Logo Cap,10,7,9,8,70,78,Less than 100
18/10/2013,18,October,2013,49,Adults (35-64),M,France,Nord,Bikes,Road Bikes,-----,1,2171,3578,942,2171,3113,More or equal to 100
27/3/2016,27,March,2016,33,Youth (<25),F,Germany,Nordrhein-Westfalen,Clothing,Caps,AWC Logo Cap,21,7,9,17,147,164,Less than 100
15/4/2016,15,April,2016,31,Young Adults (25-34),M,Australia,New South Wales,Accessories,Helmets,"Sport-100 Helmet, Black",14,13,35,244,182,426,More or equal to 100
25/12/2013,25,December,2013,37,Adults (35-64),M,United States,California,Bikes,Road Bikes,"Road-650 Red, 60",1,487,783,280,487,767,More or equal to 100
11/2/2016,11,February,2016,44,Adults (35-64),M,United States,Oregon,Accessories,Tires and Tubes,-----,13,8,21,131,104,235,More or equal to 100
25/4/2014,25,April,2014,36,Adults (35-64),M,Canada,British Columbia,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",20,38,50,230,760,990,More or equal to 100
23/2/2014,23,February,2014,35,Adults (35-64),M,United States,Oregon,Accessories,Helmets,"Sport-100 Helmet, Red",3,13,35,51,39,90,Less than 100
25/8/2015,25,August,2015,28,Young Adults (25-34),F,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,174,344,518,More or equal to 100
9/2/2014,9,February,2014,43,Adults (35-64),F,Canada,British Columbia,Clothing,Jerseys,"Long-Sleeve Logo Jersey, XL",2,38,50,23,76,99,Less than 100
4/2/2014,4,February,2014,51,Adults (35-64),F,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,18,2,5,52,36,88,Less than 100
19/1/2016,19,January,2016,45,Adults (35-64),F,Australia,New South Wales,Accessories,Helmets,"Sport-100 Helmet, Black",21,13,35,366,273,639,More or equal to 100
31/1/2014,31,January,2014,42,Adults (35-64),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,15,1,2,14,15,29,Less than 100
31/1/2014,31,January,2014,44,Adults (35-64),M,Australia,New South Wales,Accessories,Tires and Tubes,Patch Kit/8 Patches,7,1,2,5,7,12,Less than 100
11/6/2014,11,June,2014,31,Young Adults (25-34),M,Canada,British Columbia,Accessories,Tires and Tubes,Road Tire Tube,18,1,4,53,18,71,Less than 100
23/7/2013,23,July,2013,69,Seniors (64+),M,Australia,Queensland,Bikes,Road Bikes,"Road-250 Red, 58",1,1555,2443,497,1555,2052,More or equal to 100
16/11/2013,16,November,2013,27,Young Adults (25-34),F,United States,Washington,Accessories,Helmets,"Sport-100 Helmet, Blue",6,13,35,86,78,164,Less than 100
3/12/2015,3,December,2015,37,Adults (35-64),M,Canada,British Columbia,Accessories,Tires and Tubes,HL Mountain Tire,23,13,35,498,299,797,More or equal to 100
21/9/2013,21,September,2013,32,Young Adults (25-34),F,Australia,New South Wales,Accessories,Bottles and Cages,Water Bottle - 30 oz.,28,2,5,66,56,122,Less than 100
29/3/2014,29,March,2014,42,Adults (35-64),M,Australia,South Australia,Accessories,Hydration Packs,Hydration Pack - 70 oz.,14,21,55,337,294,631,More or equal to 100
30/9/2015,30,September,2015,31,Young Adults (25-34),M,Australia,Queensland,Accessories,Fenders,Bike Wash - Dissolver,1,3,8,4,3,7,Less than 100
13/9/2015,13,September,2015,53,Adults (35-64),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320,961,1266,2227,More or equal to 100
26/9/2015,26,September,2015,41,Adults (35-64),F,United States,Oregon,Clothing,Jerseys,-----,3,42,54,13,126,139,Less than 100
24/3/2015,24,March,2015,28,Young Adults (25-34),M,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578,1264,2171,3435,More or equal to 100
31/10/2015,31,October,2015,40,Adults (35-64),M,Germany,Saarland,Accessories,Tires and Tubes,Touring Tire,22,11,29,281,242,523,More or equal to 100
28/12/2013,28,December,2013,31,Young Adults (25-34),M,Canada,British Columbia,Clothing,Jerseys,-----,19,38,50,219,722,941,More or equal to 100
29/4/2014,29,April,2014,40,Adults (35-64),F,United Kingdom,England,Accessories,Hydration Packs,Hydration Pack - 70 oz.,18,21,55,572,378,950,More or equal to 100
6/5/2016,6,May,2016,35,Adults (35-64),M,Canada,British Columbia,Accessories,Fenders,Fender Set - Mountain,11,8,22,152,88,240,More or equal to 100
25/8/2015,25,August,2015,32,Young Adults (25-34),M,Australia,New South Wales,Accessories,Tires and Tubes,Road Tire Tube,28,1,4,69,28,97,Less than 100
30/6/2016,30,June,2016,29,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,21,2,5,62,42,104,Less than 100
8/11/2015,8,November,2015,39,Adults (35-64),M,United Kingdom,England,Bikes,Touring Bikes,"Touring-1000 Blue, 46",1,1482,2384,807,1482,2289,More or equal to 100
14/4/2014,14,April,2014,47,Adults (35-64),M,Canada,British Columbia,Accessories,Tires and Tubes,Road Tire Tube,28,1,4,83,28,111,Less than 100
23/9/2013,23,September,2013,38,Adults (35-64),M,Australia,Victoria,Clothing,Caps,-----,25,7,9,3,175,178,Less than 100
11/1/2016,11,January,2016,44,Adults (35-64),F,United Kingdom,England,Bikes,Touring Bikes,"Touring-1000 Yellow, 46",2,1482,2384,1613,2964,4577,More or equal to 100
28/5/2014,28,May,2014,35,Adults (35-64),F,Germany,Hamburg,Accessories,Tires and Tubes,Touring Tire Tube,4,2,5,11,8,19,Less than 100
23/5/2016,23,May,2016,26,Young Adults (25-34),M,United Kingdom,England,Accessories,Bottles and Cages,Road Bottle Cage,26,3,9,147,78,225,More or equal to 100
30/7/2016,30,July,2016,35,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,21,2,5,61,42,103,Less than 100
9/4/2014,9,April,2014,39,Adults (35-64),F,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578,620,2171,2791,More or equal to 100
1/5/2014,1,May,2014,48,Adults (35-64),M,Germany,Hamburg,Accessories,Bottles and Cages,Road Bottle Cage,26,3,9,140,78,218,More or equal to 100
12/2/2015,12,February,2015,48,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,1252,2295,745,1252,1997,More or equal to 100
2/11/2015,2,November,2015,41,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,ML Mountain Tire,3,11,30,55,33,88,Less than 100
2/2/2014,2,February,2014,51,Adults (35-64),M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,24,2,5,70,48,118,Less than 100
28/7/2016,28,July,2016,31,Young Adults (25-34),M,United States,California,Clothing,Jerseys,"Long-Sleeve Logo Jersey, L",3,38,50,33,114,147,Less than 100
11/4/2016,11,April,2016,48,Adults (35-64),F,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578,620,2171,2791,More or equal to 100
24/1/2013,24,January,2013,33,Youth (<25),M,Germany,Hessen,Bikes,Road Bikes,"Road-550-W Yellow, 38",1,713,1120,329,713,1042,More or equal to 100
15/3/2016,15,March,2016,24,Youth (<25),F,United States,California,Accessories,Tires and Tubes,ML Road Tire,5,9,25,78,45,123,Less than 100
7/12/2011,7,December,2011,25,Young Adults (25-34),M,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 58",3,1555,2443,2371,4665,7036,More or equal to 100
9/3/2014,9,March,2014,33,Youth (<25),M,France,Moselle,Accessories,Tires and Tubes,Road Tire Tube,7,1,4,18,7,25,Less than 100
12/4/2016,12,April,2016,55,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,29,2,5,84,58,142,Less than 100
15/4/2016,15,April,2016,42,Adults (35-64),F,United States,Oregon,Accessories,Bottles and Cages,Mountain Bottle Cage,4,4,10,18,16,34,Less than 100
1/12/2012,1,December,2012,42,Adults (35-64),M,United States,Washington,Bikes,Road Bikes,"Road-750 Black, 44",2,344,540,154,688,842,More or equal to 100
14/9/2013,14,September,2013,26,Young Adults (25-34),M,Australia,Victoria,Accessories,Bottles and Cages,Road Bottle Cage,4,3,9,16,12,28,Less than 100
31/1/2016,31,January,2016,31,Young Adults (25-34),M,Canada,British Columbia,Clothing,Shorts,"Women's Mountain Shorts, L",22,26,70,953,572,1525,More or equal to 100
15/1/2016,15,January,2016,49,Adults (35-64),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,28,1,2,27,28,55,Less than 100
6/5/2014,6,May,2014,33,Youth (<25),F,United States,California,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",18,38,50,198,684,882,More or equal to 100
27/9/2015,27,September,2015,39,Adults (35-64),F,United Kingdom,England,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",1,42,54,10,42,52,Less than 100
27/12/2013,27,December,2013,20,Youth (<25),F,Australia,Tasmania,Clothing,Caps,AWC Logo Cap,17,7,9,5,119,124,Less than 100
1/9/2015,1,September,2015,33,Youth (<25),F,United States,California,Clothing,Gloves,"Half-Finger Gloves, L",27,9,24,392,243,635,More or equal to 100
4/6/2016,4,June,2016,48,Adults (35-64),M,Canada,British Columbia,Clothing,Gloves,"Half-Finger Gloves, M",18,9,24,266,162,428,More or equal to 100
20/10/2015,20,October,2015,31,Young Adults (25-34),F,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,23,2,5,68,46,114,Less than 100
21/11/2015,21,November,2015,33,Youth (<25),M,United States,Oregon,Accessories,Tires and Tubes,Road Tire Tube,3,1,4,7,3,10,Less than 100
14/6/2016,14,June,2016,23,Youth (<25),M,Australia,New South Wales,Accessories,Tires and Tubes,HL Mountain Tire,4,13,35,70,52,122,Less than 100
27/4/2014,27,April,2014,33,Youth (<25),F,United States,California,Accessories,Fenders,Fender Set - Mountain,7,8,22,95,56,151,Less than 100
4/1/2016,4,January,2016,39,Adults (35-64),M,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,30,1,2,29,30,59,Less than 100
26/12/2015,26,December,2015,62,Adults (35-64),F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Black",16,13,35,341,208,549,More or equal to 100
19/1/2016,19,January,2016,50,Adults (35-64),M,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,24,1,2,22,24,46,Less than 100
25/7/2014,25,July,2014,32,Young Adults (25-34),F,Australia,Victoria,Accessories,Fenders,Fender Set - Mountain,24,8,22,225,192,417,More or equal to 100
12/4/2014,12,April,2014,21,Youth (<25),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320,752,1266,2018,More or equal to 100
7/3/2014,7,March,2014,36,Adults (35-64),M,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,18,1,2,17,18,35,Less than 100
14/4/2016,14,April,2016,53,Adults (35-64),F,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,24,2,5,71,48,119,Less than 100
13/9/2013,13,September,2013,31,Young Adults (25-34),F,Australia,Victoria,Accessories,Tires and Tubes,Patch Kit/8 Patches,16,1,2,9,16,25,Less than 100
14/12/2013,14,December,2013,56,Adults (35-64),F,Australia,Victoria,Accessories,Bike Stands,-----,1,59,159,67,59,126,Less than 100
2/1/2016,2,January,2016,56,Adults (35-64),M,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Red",11,13,35,227,143,370,More or equal to 100
25/1/2016,25,January,2016,40,Adults (35-64),M,United States,Oregon,Accessories,Tires and Tubes,Road Tire Tube,26,1,4,63,26,89,Less than 100
10/1/2014,10,January,2014,59,Adults (35-64),M,United States,California,Accessories,Helmets,"Sport-100 Helmet, Red",11,13,35,234,143,377,More or equal to 100
30/5/2013,30,May,2013,21,Youth (<25),M,United Kingdom,England,Bikes,Road Bikes,"Road-550-W Yellow, 44",1,713,1120,362,713,1075,More or equal to 100
12/7/2013,12,July,2013,47,Adults (35-64),M,Australia,South Australia,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,763,2171,2934,More or equal to 100
3/2/2016,3,February,2016,24,Youth (<25),F,United Kingdom,England,Accessories,Bottles and Cages,Road Bottle Cage,21,3,9,118,63,181,More or equal to 100
9/11/2015,9,November,2015,40,Adults (35-64),M,United States,Washington,Accessories,Fenders,Fender Set - Mountain,21,8,22,192,168,360,More or equal to 100
7/5/2014,7,May,2014,56,Adults (35-64),F,United States,California,Clothing,Gloves,"Half-Finger Gloves, S",25,9,24,363,225,588,More or equal to 100
23/6/2016,23,June,2016,30,Young Adults (25-34),F,Australia,Queensland,Clothing,Caps,AWC Logo Cap,25,7,9,14,175,189,Less than 100
7/12/2015,7,December,2015,34,Young Adults (25-34),M,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,3,2,5,8,6,14,Less than 100
13/6/2014,13,June,2014,41,Adults (35-64),M,Germany,Hessen,Accessories,Bottles and Cages,Road Bottle Cage,6,3,9,32,18,50,Less than 100
20/3/2014,20,March,2014,32,Young Adults (25-34),F,Australia,New South Wales,Clothing,Vests,"Classic Vest, S",19,24,64,602,456,1058,More or equal to 100
10/1/2014,10,January,2014,31,Young Adults (25-34),M,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,1008,1266,2274,More or equal to 100
5/2/2014,5,February,2014,41,Adults (35-64),M,France,Seine (Paris),Accessories,Tires and Tubes,Touring Tire,25,11,29,320,275,595,More or equal to 100
6/3/2016,6,March,2016,33,Youth (<25),M,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Red",19,13,35,391,247,638,More or equal to 100
19/9/2015,19,September,2015,24,Youth (<25),F,Germany,Hamburg,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",15,38,50,128,570,698,More or equal to 100
24/6/2014,24,June,2014,19,Youth (<25),F,United Kingdom,England,Clothing,Caps,AWC Logo Cap,21,7,9,34,147,181,Less than 100
24/1/2014,24,January,2014,30,Young Adults (25-34),M,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,174,344,518,More or equal to 100
18/5/2016,18,May,2016,33,Young Adults (25-34),F,Australia,Victoria,Accessories,Tires and Tubes,Mountain Tire Tube,5,2,5,10,10,20,Less than 100
12/5/2014,12,May,2014,38,Adults (35-64),M,Australia,New South Wales,Bikes,Touring Bikes,"Touring-1000 Yellow, 46",1,1482,2384,592,1482,2074,More or equal to 100
5/5/2012,5,May,2012,35,Adults (35-64),F,Germany,Nordrhein-Westfalen,Bikes,Road Bikes,"Road-250 Black, 44",2,1555,2443,1141,3110,4251,More or equal to 100
21/5/2014,21,May,2014,29,Young Adults (25-34),M,United States,California,Accessories,Helmets,"Sport-100 Helmet, Red",9,13,35,192,117,309,More or equal to 100
17/11/2015,17,November,2015,49,Adults (35-64),F,France,Hauts de Seine,Accessories,Helmets,"Sport-100 Helmet, Red",7,13,35,137,91,228,More or equal to 100
27/4/2016,27,April,2016,31,Young Adults (25-34),M,United States,Washington,Accessories,Helmets,"Sport-100 Helmet, Black",12,13,35,172,156,328,More or equal to 100
12/11/2013,12,November,2013,23,Youth (<25),F,United States,California,Accessories,Tires and Tubes,Touring Tire Tube,19,2,5,55,38,93,Less than 100
